Time #Deleted-#Scat #Deleted #Scattered
717 89987 90000 13
718 89987 89993 6
719 89993 90007 14
720 89985 89996 11
721 89986 89999 13
722 89989 90010 21
723 89991 90002 11
724 89983 90001 18
725 89987 90004 17
726 89989 90010 21
727 89982 89997 15
728 89990 89997 7
729 89986 90001 15
730 89984 90000 16
731 89986 89999 13
732 89982 89990 8
733 89984 89995 11
734 89989 90000 11
735 89990 90006 16
736 89993 90005 12
737 89990 90006 16
738 89992 90001 9
739 89985 89998 13
740 89987 89996 9
741 89989 90001 12
742 89989 90005 16
743 89989 90004 15
744 89986 89997 11
745 89992 89995 3
746 89994 90006 12
747 89985 90004 19
748 89984 89997 13
749 89994 90004 10
750 89986 90001 15
751 89986 90005 19
752 89995 90006 11
753 89984 90002 18
754 89992 89999 7
755 89990 89998 8
756 89985 89994 9
757 89989 90006 17
758 89991 90001 10
759 89992 90003 11
760 89992 90001 9
761 89989 90004 15
762 89981 89995 14
763 89989 90000 11
764 89993 90008 15
765 89992 90001 9
766 89979 89989 10
767 89989 90001 12
768 89994 90002 8
769 89988 90000 12
770 89992 89999 7
771 89993 90003 10
772 89996 90005 9
773 89989 90005 16
774 89989 89999 10
775 89986 89994 8
776 89987 90001 14
777 89986 89997 11
778 89990 90000 10
779 89994 90006 12
780 89984 90001 17
781 89991 90003 12
782 89992 90002 10
783 89989 89999 10
784 89987 90000 13
785 89991 90004 13
786 89991 90003 12
787 89991 90002 11
788 89984 89995 11
789 89988 89994 6
790 89991 89998 7
791 89993 90002 9
792 89983 90001 18
793 89993 89998 5
794 89996 90009 13
795 89993 90003 10
796 89987 90001 14
797 89990 90013 23
798 89993 90000 7
799 89990 89996 6
800 89988 90001 13
801 89989 89995 6
802 89995 90009 14
803 89992 90007 15
804 89988 89996 8
805 89988 89993 5
806 89992 90005 13
807 89994 90001 7
808 89990 89997 7
809 89993 90004 11
810 89989 90003 14
811 89991 90004 13
812 89990 89997 7
813 89988 90000 12
814 89989 89995 6
815 89994 90002 8
816 89992 89999 7
817 89992 90000 8
818 89991 90004 13
819 89992 90000 8
820 89992 90003 11
821 89991 90003 12
822 89995 90007 12
823 89988 89997 9
824 89990 89996 6
825 89991 89999 8
826 89987 90001 14
827 89995 90001 6
828 89993 89999 6
829 89987 89996 9
830 89997 90002 5
831 89988 89999 11
832 89991 89998 7
833 89995 90008 13
834 89994 89998 4
835 89988 89995 7
836 89987 89999 12
837 89993 90001 8
838 89994 90001 7
839 89996 90000 4
840 89991 90001 10
841 89993 90003 10
842 89992 89998 6
843 89997 90008 11
844 89990 89998 8
845 89993 89999 6
846 89994 90000 6
847 89995 90000 5
848 89994 90003 9
849 89989 89996 7
850 89992 90003 11
851 89998 90007 9
852 89995 90003 8
853 89994 90001 7
854 89991 90008 17
855 89993 90001 8
856 89990 89997 7
857 89991 89995 4
858 89990 90001 11
859 89987 89991 4
860 89996 90005 9
861 89995 90000 5
862 89992 89996 4
863 89994 90003 9
864 89990 89998 8
865 89995 90003 8
866 89993 89999 6
867 89995 90001 6
868 89994 90005 11
869 89994 90002 8
870 89994 90001 7
871 89993 90004 11
872 89993 90002 9
873 89988 90001 13
874 89993 89998 5
875 89994 90007 13
876 89988 89996 8
877 89995 90004 9
878 89996 90004 8
879 89996 90000 4
880 89995 90000 5
881 89991 89997 6
882 89992 89996 4
883 89996 90005 9
884 89994 90000 6
885 89993 89998 5
886 89993 89999 6
887 89995 90002 7
888 89997 90002 5
889 89995 90003 8
890 89995 90002 7
891 89993 89996 3
892 89993 90001 8
893 89995 90001 6
894 89997 90002 5
895 89992 90001 9
896 89995 90002 7
897 89991 89994 3
898 89993 90001 8
899 89995 89999 4
900 89994 90000 6
901 89999 90006 7
902 89994 90000 6
903 89995 90004 9
904 89994 89999 5
905 89995 90001 6
906 89993 90000 7
907 89994 89998 4
908 89993 90000 7
909 89993 90003 10
910 89993 90001 8
911 89995 90001 6
912 89996 90000 4
913 89990 89997 7
914 89992 89998 6
915 89996 90001 5
916 89990 89997 7
917 89996 90002 6
918 89996 90000 4
919 89995 89998 3
920 89997 90004 7
921 90000 90008 8
922 89990 89996 6
923 89994 90003 9
924 89991 90000 9
925 89995 90001 6
926 89995 90001 6
927 89995 89999 4
928 89991 89999 8
929 89999 90000 1
930 89997 90006 9
931 89994 89996 2
932 89995 90008 13
933 89996 90000 4
934 89995 90002 7
935 89995 89999 4
936 89996 90005 9
937 89993 89998 5
938 89991 89994 3
939 89993 89999 6
940 89991 89997 6
941 89996 89999 3
942 89996 90002 6
943 89996 90002 6
944 89998 90004 6
945 89996 89999 3
946 89994 89997 3
947 89998 90001 3
948 89997 90000 3
949 89992 90000 8
950 89995 89998 3
951 89999 90004 5
952 89992 89999 7
953 89994 89998 4
954 89994 90001 7
955 89996 90001 5
956 89996 90002 6
